JN202305170049_DeltaP,,JN202305170050_DeltaP,,JN202305170051_DeltaP,,JN202305170052_DeltaP,,JN202305170053_DeltaP,,JN202305170054_DeltaP,,JN202305170055_DeltaP,,JN202305170056_DeltaP,,JN202305170057_DeltaP,,JN202305170058_DeltaP,,JN202305170059_DeltaP,
-3.4e-08,-3.4415167e-05,-3.4e-08,3.7410516e-06,-3.4e-08,-1.00851e-05,-3.4e-08,3.4550008e-05,-3.4e-08,9.164559e-05,-3.4e-08,5.7589405e-06,-3.4e-08,-5.6827444e-05,-3.4e-08,4.2807965e-06,-3.4e-08,-0.00013194105,-3.4e-08,3.043839e-05,-3.4e-08,-7.6601333e-05
-3.2e-08,-5.7910391e-05,-3.2e-08,1.1466873e-05,-3.2e-08,1.2425816e-06,-3.2e-08,0.00014062315,-3.2e-08,4.0192663e-05,-3.2e-08,2.2067645e-05,-3.2e-08,1.6421111e-05,-3.2e-08,8.1891976e-06,-3.2e-08,-0.00012159257,-3.2e-08,-1.5282696e-05,-3.2e-08,-0.00010821257
-3e-08,-6.8984518e-05,-3e-08,-3.6757643e-05,-3e-08,-4.6720845e-05,-3e-08,0.00010365482,-3e-08,-4.2697247e-06,-3e-08,2.1430622e-05,-3e-08,-9.0323934e-05,-3e-08,5.707844e-05,-3e-08,-0.00013194105,-3e-08,5.9236325e-05,-3e-08,-8.5412343e-05
-2.8e-08,-4.6614303e-05,-2.8e-08,-5.7002497e-05,-2.8e-08,-7.469119e-05,-2.8e-08,4.9005375e-05,-2.8e-08,-4.3248474e-05,-2.8e-08,3.7740112e-05,-2.8e-08,-7.7304894e-06,-2.8e-08,-2.5754052e-06,-2.8e-08,-6.9947964e-05,-2.8e-08,0.00017099052,-2.8e-08,-4.5900473e-05
-2.6e-08,-9.6092241e-05,-2.6e-08,1.4670894e-05,-2.6e-08,-2.2406088e-05,-2.6e-08,-1.1660651e-05,-2.6e-08,-2.4766086e-05,-2.6e-08,2.8332088e-05,-2.6e-08,-0.00013941991,-2.6e-08,3.6542828e-05,-2.6e-08,-7.5847151e-05,-2.6e-08,-6.6056389e-05,-2.6e-08,-1.4289514e-05
-2.4e-08,-0.0001473763,-2.4e-08,-2.3164943e-05,-2.4e-08,-3.9059571e-05,-2.4e-08,1.8869734e-05,-2.4e-08,-5.9733742e-05,-2.4e-08,1.2660405e-05,-2.4e-08,-0.00010201698,-2.4e-08,-6.5145272e-05,-2.4e-08,-8.0248479e-05,-2.4e-08,4.059228e-05,-2.4e-08,-7.7052857e-05
-2.2e-08,-9.4959614e-05,-2.2e-08,9.8592573e-05,-2.2e-08,-1.00851e-05,-2.2e-08,2.6110723e-05,-2.2e-08,1.6700626e-05,-2.2e-08,3.6486439e-05,-2.2e-08,-2.8002913e-05,-2.2e-08,-6.222925e-05,-2.2e-08,-0.00017178728,-2.2e-08,-2.2054075e-05,-2.2e-08,-9.7767661e-06
-2e-08,-5.1588726e-05,-2e-08,7.9945225e-05,-2e-08,-4.4058157e-05,-2e-08,3.7353897e-05,-2e-08,5.5171662e-05,-2e-08,4.2114647e-05,-2e-08,-4.0461469e-05,-2e-08,-3.679164e-05,-2e-08,-0.00014519115,-2e-08,-0.00014906556,-2e-08,-1.5192008e-05
-1.8e-08,-4.8198464e-05,-1.8e-08,0.00013696091,-1.8e-08,-4.7386518e-05,-1.8e-08,-3.6569698e-05,-1.8e-08,3.0697927e-05,-1.8e-08,-4.43801e-05,-1.8e-08,-3.267487e-05,-1.8e-08,-3.5831039e-05,-1.8e-08,-8.174633e-05,-1.8e-08,5.7517551e-05,-1.8e-08,-4.5449226e-05
-1.6e-08,-4.277251e-05,-1.6e-08,0.00012736683,-1.6e-08,2.455321e-05,-1.6e-08,-7.5144126e-05,-1.6e-08,9.219244e-06,-1.6e-08,-3.1213411e-05,-1.6e-08,-0.00010122614,-1.6e-08,-2.3112234e-05,-1.6e-08,-9.6496144e-05,-1.6e-08,-9.4854324e-05,-1.6e-08,-8.4230269e-06
-1.4e-08,-1.0246179e-05,-1.4e-08,9.2202179e-05,-1.4e-08,-1.0924779e-06,-1.4e-08,-1.5281146e-05,-1.4e-08,3.3693603e-05,-1.4e-08,-7.6977136e-05,-1.4e-08,-0.00010278347,-1.4e-08,-3.0929037e-05,-1.4e-08,-3.3051321e-05,-1.4e-08,-0.00016599083,-1.4e-08,2.4993202e-05
-1.2e-08,-2.6057818e-05,-1.2e-08,4.1044383e-05,-1.2e-08,3.9056899e-06,-1.2e-08,-4.432718e-06,-1.2e-08,1.2706391e-05,-1.2e-08,6.5941458e-05,-1.2e-08,5.8496982e-05,-1.2e-08,-3.9739443e-05,-1.2e-08,-9.5044401e-05,-1.2e-08,-0.00016599083,-1.2e-08,-2.778354e-06
-9.99999999999998e-09,-8.8913148e-06,-9.99999999999998e-09,2.9590361e-05,-9.99999999999998e-09,-3.2064381e-05,-9.99999999999998e-09,7.7534918e-05,-9.99999999999998e-09,7.3163203e-05,-9.99999999999998e-09,4.6510333e-05,-9.99999999999998e-09,2.5765999e-05,-9.99999999999998e-09,-0.00013066172,-9.99999999999998e-09,-0.00010094358,-9.99999999999998e-09,-0.00012365227,-9.99999999999998e-09,-4.5449226e-05
-7.99999999999999e-09,-9.1135489e-06,-7.99999999999999e-09,-2.7425318e-05,-7.99999999999999e-09,-6.9703841e-05,-7.99999999999999e-09,9.9639576e-05,-7.99999999999999e-09,8.1152284e-05,-7.99999999999999e-09,2.0177735e-05,-7.99999999999999e-09,-5.4478314e-05,-7.99999999999999e-09,-7.0047274e-05,-7.99999999999999e-09,-9.2094808e-05,-7.99999999999999e-09,-0.0001473468,-7.99999999999999e-09,-6.1591754e-06
-5.99999999999999e-09,-5.9043017e-05,-5.99999999999999e-09,-9.0483954e-06,-5.99999999999999e-09,-5.6040688e-05,-5.99999999999999e-09,4.5397937e-05,-5.99999999999999e-09,7.3163203e-05,-5.99999999999999e-09,4.024589e-05,-5.99999999999999e-09,9.4000243e-06,-5.99999999999999e-09,-6.0275048e-05,-5.99999999999999e-09,4.2237982e-05,-5.99999999999999e-09,-0.00035565079,-5.99999999999999e-09,-3.2125467e-05
-3.99999999999998e-09,-8.3893108e-05,-3.99999999999998e-09,-2.9563997e-05,-3.99999999999998e-09,-3.5065532e-05,-3.99999999999998e-09,2.9718163e-05,-3.99999999999998e-09,-6.7745509e-06,-3.99999999999998e-09,1.3836258e-06,-3.99999999999998e-09,3.9625547e-06,-3.99999999999998e-09,-0.00014434234,-3.99999999999998e-09,-8.174633e-05,-3.99999999999998e-09,-0.00027774501,-3.99999999999998e-09,-7.2088857e-05
-1.99999999999999e-09,-6.2884814e-05,-1.99999999999999e-09,-5.4339973e-05,-1.99999999999999e-09,9.5695314e-06,-1.99999999999999e-09,6.386904e-05,-1.99999999999999e-09,9.7107159e-06,-1.99999999999999e-09,2.6442962e-05,-1.99999999999999e-09,6.1611616e-05,-1.99999999999999e-09,-0.00014238813,-1.99999999999999e-09,-0.00013929012,-1.99999999999999e-09,-7.115979e-05,-1.99999999999999e-09,-2.2419572e-05
1.32348898008484e-23,-3.0138381e-06,1.32348898008484e-23,7.206831e-06,1.32348898008484e-23,-2.3399394e-05,1.32348898008484e-23,0.0001185185,1.32348898008484e-23,9.9650919e-05,1.32348898008484e-23,0.00014806089,1.32348898008484e-23,0.00018160799,1.32348898008484e-23,-8.276607e-05,1.32348898008484e-23,2.1542877e-05,1.32348898008484e-23,-0.00014568093,1.32348898008484e-23,3.1991614e-05
2e-09,0.00022064373,2e-09,0.00025312262,2e-09,0.00023171866,2e-09,0.00042187472,2e-09,0.000339955,2e-09,0.00046651551,2e-09,0.00039821371,2e-09,0.00018516474,2e-09,0.00045989206,2e-09,0.00019301919,2e-09,0.00027312431
4.00000000000001e-09,0.00066388724,4.00000000000001e-09,0.00074229203,4.00000000000001e-09,0.00066004071,4.00000000000001e-09,0.00084938097,4.00000000000001e-09,0.00084957201,4.00000000000001e-09,0.0010350675,4.00000000000001e-09,0.00088833302,4.00000000000001e-09,0.00083927816,4.00000000000001e-09,0.00087749824,4.00000000000001e-09,0.00061301183,4.00000000000001e-09,0.00073347759
6.00000000000001e-09,0.0011304042,6.00000000000001e-09,0.0012269303,6.00000000000001e-09,0.0011799459,6.00000000000001e-09,0.0012620231,6.00000000000001e-09,0.0012952132,6.00000000000001e-09,0.0014324988,6.00000000000001e-09,0.0013597391,6.00000000000001e-09,0.0014073371,6.00000000000001e-09,0.0014781801,6.00000000000001e-09,0.0011955303,6.00000000000001e-09,0.0011633516
8.00000000000001e-09,0.0014683708,8.00000000000001e-09,0.0016564125,8.00000000000001e-09,0.0015346468,8.00000000000001e-09,0.0016650275,8.00000000000001e-09,0.0016469517,8.00000000000001e-09,0.0018437329,8.00000000000001e-09,0.0018334681,8.00000000000001e-09,0.001754465,8.00000000000001e-09,0.001904683,8.00000000000001e-09,0.001708633,8.00000000000001e-09,0.0016146721
1e-08,0.0018494929,1e-08,0.0020478053,1e-08,0.0019596396,1e-08,0.0020202028,1e-08,0.0020766153,1e-08,0.0022286351,1e-08,0.0022542209,1e-08,0.0020487634,1e-08,0.0021644058,1e-08,0.002049054,1e-08,0.0019515328
1.2e-08,0.0021793235,1.2e-08,0.002419739,1.2e-08,0.0022390722,1.2e-08,0.0023436495,1.2e-08,0.0023578953,1.2e-08,0.002627936,1.2e-08,0.002582269,1.2e-08,0.0024662465,1.2e-08,0.0024182275,1.2e-08,0.0020744675,1.2e-08,0.00226242
1.4e-08,0.0025089325,1.4e-08,0.0027202785,1.4e-08,0.0025125134,1.4e-08,0.0026755349,1.4e-08,0.0026546777,1.4e-08,0.0029651846,1.4e-08,0.0028347201,1.4e-08,0.0028426885,1.4e-08,0.002574661,1.4e-08,0.0024588357,1.4e-08,0.0025660871
1.6e-08,0.0027321386,1.6e-08,0.0030474539,1.6e-08,0.002748654,1.6e-08,0.0028748193,1.6e-08,0.0030423668,1.6e-08,0.0031795828,1.6e-08,0.003160421,1.6e-08,0.0030656068,1.6e-08,0.002946568,1.6e-08,0.0027619686,1.6e-08,0.0028180578
1.8e-08,0.003066041,1.8e-08,0.0032464808,1.8e-08,0.0030520733,1.8e-08,0.0031488431,1.8e-08,0.0033361365,1.8e-08,0.0034961479,1.8e-08,0.0034744267,1.8e-08,0.0032553021,1.8e-08,0.0031708938,1.8e-08,0.002863569,1.8e-08,0.003064147
2e-08,0.0032587782,2e-08,0.0035480768,2e-08,0.0033711435,2e-08,0.0033722459,2e-08,0.0034915272,2e-08,0.0036804343,2e-08,0.003725322,2e-08,0.003637607,2e-08,0.0034380134,2e-08,0.0034732213,2e-08,0.0032964912
2.2e-08,0.0034828505,2.2e-08,0.0036578565,2.2e-08,0.0035450014,2.2e-08,0.003604878,2.2e-08,0.0037508213,2.2e-08,0.0039230343,2.2e-08,0.0039146603,2.2e-08,0.0038771513,2.2e-08,0.0036667404,2.2e-08,0.0035765406,2.2e-08,0.0035654027
2.4e-08,0.0036280863,2.4e-08,0.00387602,2.4e-08,0.0037854747,2.4e-08,0.0037575571,2.4e-08,0.0039116945,2.4e-08,0.0040515545,2.4e-08,0.004223228,2.4e-08,0.0040795668,2.4e-08,0.0039545074,2.4e-08,0.0038948779,2.4e-08,0.0037565634
