JN202303200003_DeltaP,,JN202303200004_DeltaP,,JN202303200006_DeltaP,,JN202303200007_DeltaP,,JN202303200008_DeltaP,,JN202303200010_DeltaP,,JN202303200011_DeltaP,
-2.8e-08,-1.7368786e-05,-2.8e-08,1.5166367e-05,-2.8e-08,6.8459181e-06,-2.8e-08,-0.00010447405,-2.8e-08,-1.6789782e-05,-2.8e-08,2.1865077e-05,-2.8e-08,-1.563749e-05
-2.6e-08,-1.2608515e-05,-2.6e-08,7.8198009e-06,-2.6e-08,8.4177809e-06,-2.6e-08,-6.3094296e-05,-2.6e-08,2.0432331e-05,-2.6e-08,-6.4703047e-05,-2.6e-08,-6.0860339e-06
-2.4e-08,1.379323e-05,-2.4e-08,2.7800968e-06,-2.4e-08,-1.6577364e-05,-2.4e-08,-9.3598246e-05,-2.4e-08,8.1202503e-05,-2.4e-08,-9.7228534e-05,-2.4e-08,-1.3947389e-05
-2.2e-08,8.6950022e-06,-2.2e-08,9.450705e-06,-2.2e-08,-2.9010343e-06,-2.2e-08,-8.9563793e-05,-2.2e-08,8.1202503e-05,-2.2e-08,-0.00012413954,-2.2e-08,-3.9737275e-05
-2e-08,-1.1881318e-05,-2e-08,3.2482065e-05,-2e-08,1.8282133e-05,-2e-08,-0.00010413626,-2e-08,7.7837452e-05,-2e-08,-2.9715684e-05,-2e-08,-7.7755749e-06
-1.8e-08,-3.0202347e-05,-1.8e-08,1.9757956e-05,-1.8e-08,2.7022646e-05,-1.8e-08,-0.00012532946,-1.8e-08,4.5097309e-05,-1.8e-08,-3.2184846e-05,-1.8e-08,1.5222138e-05
-1.6e-08,-2.4097813e-05,-1.6e-08,1.5335218e-05,-1.6e-08,1.7386088e-05,-1.6e-08,-0.00011636408,-1.6e-08,4.5545472e-05,-1.6e-08,-5.1027062e-05,-1.6e-08,2.5287633e-05
-1.4e-08,-2.5662479e-05,-1.4e-08,-2.1568962e-06,-1.4e-08,3.8198714e-06,-1.4e-08,-8.3729086e-05,-1.4e-08,2.8727516e-05,-1.4e-08,-8.3993516e-05,-1.4e-08,-4.4218985e-05
-1.2e-08,-5.6590879e-06,-1.2e-08,1.7127826e-05,-1.2e-08,-8.0570817e-06,-1.2e-08,-7.2177136e-05,-1.2e-08,5.5413038e-05,-1.2e-08,-6.784837e-05,-1.2e-08,-4.3630956e-05
-1e-08,-2.8975501e-05,-1e-08,1.1911845e-05,-1e-08,-4.5830116e-06,-1e-08,-5.7377049e-05,-1e-08,3.6574533e-05,-1e-08,-5.1247403e-05,-1e-08,-8.8776442e-06
-8.00000000000001e-09,-9.0162457e-06,-8.00000000000001e-09,9.0540143e-06,-8.00000000000001e-09,-4.2451034e-06,-8.00000000000001e-09,-5.8163365e-05,-8.00000000000001e-09,7.4251817e-05,-8.00000000000001e-09,-7.0986127e-05,-8.00000000000001e-09,-3.2933021e-06
-6e-09,-2.3533526e-06,-6e-09,5.410086e-06,-6e-09,-2.7906397e-06,-6e-09,-7.0163558e-05,-6e-09,8.5912056e-05,-6e-09,-3.2633096e-05,-6e-09,-3.1287327e-05
-4e-09,-1.4621409e-05,-4e-09,-1.4932432e-05,-4e-09,2.1378939e-06,-4e-09,-1.1286981e-05,-4e-09,3.7250291e-05,-4e-09,-7.5468903e-05,-4e-09,-5.1492869e-05
-2e-09,7.5711387e-06,-2e-09,-9.2169093e-06,-2e-09,4.4954086e-06,-2e-09,3.5582394e-05,-2e-09,-5.5774349e-06,-2e-09,-3.4874629e-05,-2e-09,1.5222138e-05
0,2.5840745e-05,0,3.0003719e-06,0,2.5002759e-05,0,1.9209676e-05,0,9.936525e-05,0,0.00022663003,0,0.00031066197
1.99999999999999e-09,4.1700932e-05,1.99999999999999e-09,1.3821877e-05,1.99999999999999e-09,6.1316437e-05,1.99999999999999e-09,0.00018315634,1.99999999999999e-09,0.00036171832,1.99999999999999e-09,0.00092547212,1.99999999999999e-09,0.0013808152
4e-09,7.303193e-05,4e-09,4.9298364e-05,4e-09,0.00016936145,4e-09,0.00031368199,4e-09,0.00065950054,4e-09,0.0017304004,4e-09,0.0026858652
6e-09,0.0001186583,6e-09,7.4129617e-05,6e-09,0.00023437187,6e-09,0.0004401656,6e-09,0.00084741018,6e-09,0.0024740915,6e-09,0.0038889339
7.99999999999999e-09,0.00015772476,7.99999999999999e-09,0.00010036407,7.99999999999999e-09,0.0003114797,7.99999999999999e-09,0.00054714613,7.99999999999999e-09,0.0010281414,7.99999999999999e-09,0.0031350362,7.99999999999999e-09,0.0048755463
1e-08,0.00018815945,1e-08,0.00011650441,1e-08,0.00033546842,1e-08,0.00066085055,1e-08,0.0012115687,1e-08,0.0037119039,1e-08,0.0057130801
1.2e-08,0.00020149995,1.2e-08,0.00014834439,1.2e-08,0.00040607588,1.2e-08,0.00073508587,1.2e-08,0.0014346795,1.2e-08,0.0041714199,1.2e-08,0.0064732446
1.4e-08,0.00023372711,1.4e-08,0.00015041612,1.4e-08,0.00044272747,1.4e-08,0.00078240345,1.4e-08,0.0015306515,1.4e-08,0.0046022758,1.4e-08,0.0071487669
1.6e-08,0.00024213093,1.6e-08,0.00016516054,1.6e-08,0.00047198264,1.6e-08,0.00078285177,1.6e-08,0.001647482,1.6e-08,0.004971623,1.6e-08,0.0077020284
1.8e-08,0.00022688796,1.8e-08,0.00018259394,1.8e-08,0.00048632748,1.8e-08,0.00087761169,1.8e-08,0.0017589271,1.8e-08,0.0053089298,1.8e-08,0.0082278848
2e-08,0.00025793971,2e-08,0.00017031781,2e-08,0.00051883649,2e-08,0.00093625335,2e-08,0.0018728338,2e-08,0.0056007472,2e-08,0.0086858487
2.2e-08,0.00023400622,2.2e-08,0.00017065578,2.2e-08,0.00054326595,2.2e-08,0.00098548143,2.2e-08,0.0019629789,2.2e-08,0.0058967541,2.2e-08,0.0090373503
2.4e-08,0.00026802588,2.4e-08,0.00016432302,2.4e-08,0.00057476119,2.4e-08,0.0010414406,2.4e-08,0.0020643363,2.4e-08,0.0060604848,2.4e-08,0.0093888519
2.6e-08,0.00026685046,2.6e-08,0.00018903684,2.6e-08,0.00056691671,2.6e-08,0.0010555648,2.6e-08,0.0020441529,2.6e-08,0.0062414836,2.6e-08,0.0096809119
2.8e-08,0.00029571319,2.8e-08,0.00020265733,2.8e-08,0.00058854796,2.8e-08,0.0010792272,2.8e-08,0.0021203894,2.8e-08,0.0064365924,2.8e-08,0.009948873
3e-08,0.00031230802,3e-08,0.00021403711,3e-08,0.00060782861,3e-08,0.001092572,3e-08,0.0021656861,3e-08,0.0065671061,3e-08,0.010146739
3.2e-08,0.00030546886,3.2e-08,0.00017833292,3.2e-08,0.00060165854,3.2e-08,0.0010978411,3.2e-08,0.0022053765,3.2e-08,0.006749941,3.2e-08,0.010334026
3.4e-08,0.00033764463,3.4e-08,0.00017720899,3.4e-08,0.0006116333,3.4e-08,0.0011757727,3.4e-08,0.0022286973,3.4e-08,0.006767211,3.4e-08,0.010454524
3.6e-08,0.00032968144,3.6e-08,0.00016179589,3.6e-08,0.00061667926,3.6e-08,0.0011571589,3.6e-08,0.0022394611,3.6e-08,0.0068542203,3.6e-08,0.010557681
3.8e-08,0.00032957116,3.8e-08,0.00019099831,3.8e-08,0.00064537622,3.8e-08,0.0011103996,3.8e-08,0.0022345237,3.8e-08,0.0069194771,3.8e-08,0.010641221
4e-08,0.00032839589,4e-08,0.00019733109,4e-08,0.00064257049,4e-08,0.0011710695,4e-08,0.0022378888,4e-08,0.0069423323,4e-08,0.010734826
4.2e-08,0.00035462136,4.2e-08,0.00020832158,4.2e-08,0.00065153849,4.2e-08,0.0011508833,4.2e-08,0.0022831853,4.2e-08,0.0069773118,4.2e-08,0.010778544
4.4e-08,0.00036124012,4.4e-08,0.00021964249,4.4e-08,0.00065052503,4.4e-08,0.0011492001,4.4e-08,0.0022430471,4.4e-08,0.0069670235,4.4e-08,0.01081947
4.6e-08,0.0003750287,4.6e-08,0.00018208698,4.6e-08,0.0006739556,4.6e-08,0.0011594074,4.6e-08,0.0022598649,4.6e-08,0.0069889957,4.6e-08,0.010863774
4.8e-08,0.00035910981,4.8e-08,0.00019856529,4.8e-08,0.00068381993,4.8e-08,0.0011524556,4.8e-08,0.0022722012,4.8e-08,0.0069708442,4.8e-08,0.010868257
5e-08,0.00035092625,5e-08,0.00019509035,5e-08,0.0006952486,5e-08,0.0011302482,5e-08,0.0022737663,5e-08,0.0069966391,5e-08,0.010874943
5.2e-08,0.00035557625,5.2e-08,0.00022950891,5.2e-08,0.00069311861,5.2e-08,0.0011414622,5.2e-08,0.0022798204,5.2e-08,0.0070006805,5.2e-08,0.010830712
5.4e-08,0.00037009217,5.4e-08,0.00024929317,5.4e-08,0.00065243477,5.4e-08,0.0011540209,5.4e-08,0.0022264565,5.4e-08,0.006981574,5.4e-08,0.010835708
5.6e-08,0.00034930275,5.6e-08,0.00025686016,5.6e-08,0.00066005148,5.6e-08,0.001165683,5.6e-08,0.0022390131,5.6e-08,0.0069566611,5.6e-08,0.010809404
5.8e-08,0.00035092625,5.8e-08,0.00020154068,5.8e-08,0.00063943403,5.8e-08,0.0011911385,5.8e-08,0.0022130031,5.8e-08,0.0069297655,5.8e-08,0.010753344
6e-08,0.00032093967,6e-08,0.00023304255,6e-08,0.00066072732,6e-08,0.0011409037,6e-08,0.0022614375,6e-08,0.0068703135,6e-08,0.010707936
6.2e-08,0.00031561375,6.2e-08,0.00023382137,6.2e-08,0.00064873294,6.2e-08,0.0011025515,6.2e-08,0.002232959,6.2e-08,0.0068979454,6.2e-08,0.010699486
6.4e-08,0.0003404434,6.4e-08,0.0002525477,6.4e-08,0.00065175898,6.4e-08,0.0011391107,6.4e-08,0.0022573962,6.4e-08,0.0068299696,6.4e-08,0.01061264
6.6e-08,0.00033652061,6.6e-08,0.00022597527,6.6e-08,0.00062844576,6.6e-08,0.0011581728,6.6e-08,0.0022217466,6.6e-08,0.0068156393,6.6e-08,0.010500518
6.8e-08,0.00033276679,6.8e-08,0.00021610883,6.8e-08,0.00063236814,6.8e-08,0.0011960695,6.8e-08,0.0022887916,6.8e-08,0.0067525874,6.8e-08,0.010441078
7e-08,0.0003256998,7e-08,0.00021106914,7e-08,0.00065232441,7e-08,0.0011179175,7e-08,0.0022033562,7e-08,0.0067310557,7e-08,0.010380534
7.2e-08,0.00029689592,7.2e-08,0.00022339655,7.2e-08,0.00063943403,7.2e-08,0.0010589305,7.2e-08,0.0022320624,7.2e-08,0.006688653,7.2e-08,0.010335716
7.4e-08,0.00030698208,7.4e-08,0.00020904881,7.4e-08,0.00061522477,7.4e-08,0.0010547858,7.4e-08,0.0021845251,7.4e-08,0.0066725598,7.4e-08,0.010272307
7.6e-08,0.00029868839,7.6e-08,0.00022233132,7.6e-08,0.00063416758,7.6e-08,0.0010644271,7.6e-08,0.002173533,7.6e-08,0.0066086263,7.6e-08,0.010196113
