p1,,p2,,p3,,p4,,p5,,qa,,qb,,qc,,qd,,qe,,qf,,qg,,qh,,qi,,qj,
8.343,1.002303,8.343,0.99540359,8.343,0.99311781,8.343,0.99311781,8.343,0.99312019,8.343,0.99083799,8.343,0.9954074,8.343,0.99311781,8.343,0.99540359,8.343,0.99083495,8.343,0.99311781,8.343,1,8.343,0.9954074,8.343,0.99311781,8.343,0.99311781
8.344,1.002303,8.344,0.99311548,8.344,0.99311781,8.344,0.99540359,8.344,0.99312019,8.344,0.99083799,8.344,0.9954074,8.344,0.99769986,8.344,0.99540645,8.344,0.99311548,8.344,0.98855829,8.344,0.99769849,8.344,0.99769849,8.344,0.99311548,8.344,0.99540359
8.345,1,8.345,0.99540645,8.345,0.99311548,8.345,0.99540645,8.345,0.9954074,8.345,0.99311608,8.345,0.99311781,8.345,0.99769986,8.345,0.99540645,8.345,0.99540645,8.345,0.99311781,8.345,0.99769849,8.345,0.99540645,8.345,0.99311548,8.345,0.99769986
8.346,1,8.346,0.99540645,8.346,0.99540645,8.346,0.99540645,8.346,0.9954074,8.346,0.99083036,8.346,0.99540359,8.346,0.99769986,8.346,0.9931131,8.346,0.99540645,8.346,0.99540645,8.346,1,8.346,0.99540645,8.346,0.99540645,8.346,0.99540645
8.347,1.0023017,8.347,0.99540645,8.347,0.99311548,8.347,0.99540645,8.347,0.99769849,8.347,0.99312019,8.347,0.99540359,8.347,0.99540645,8.347,0.99540269,8.347,0.99540645,8.347,0.99083495,8.347,0.99769986,8.347,0.99769986,8.347,0.99540645,8.347,0.99540645
8.348,1.0046138,8.348,0.99770135,8.348,0.99540645,8.348,0.99770135,8.348,0.99540359,8.348,0.99083585,8.348,0.99540645,8.348,0.99770135,8.348,0.99540269,8.348,0.99540269,8.348,0.99540645,8.348,0.99769986,8.348,0.99769986,8.348,0.99540645,8.348,0.9931131
8.349,1.0046138,8.349,0.99540269,8.349,0.99770135,8.349,0.99540269,8.349,0.99540359,8.349,0.99083585,8.349,0.99540645,8.349,0.99540269,8.349,0.99769604,8.349,0.99540269,8.349,0.9931131,8.349,1,8.349,0.99540645,8.349,0.99540269,8.349,0.99540269
8.35,1.0046138,8.35,0.99540269,8.35,0.9931131,8.35,0.99769604,8.35,0.99540645,8.35,0.99083585,8.35,0.99540645,8.35,0.99540269,8.35,0.99769604,8.35,0.99769604,8.35,0.99311548,8.35,0.99770135,8.35,0.99770135,8.35,0.99540561,8.35,0.99540269
8.351,1.0023068,8.351,0.99540561,8.351,0.99769604,8.351,0.99540561,8.351,0.99540645,8.351,0.99311781,8.351,0.99770135,8.351,0.99540269,8.351,0.99540561,8.351,0.99540561,8.351,0.99769604,8.351,1.002304,8.351,0.99540561,8.351,0.99540561,8.351,0.99540269
8.352,1.0023068,8.352,0.99540561,8.352,0.99311757,8.352,0.99540561,8.352,0.99540645,8.352,0.99311781,8.352,0.99770135,8.352,0.99769604,8.352,0.99540561,8.352,0.99540561,8.352,0.99311757,8.352,0.99769604,8.352,1,8.352,0.99540561,8.352,0.99769604
8.353,1.0069323,8.353,0.99540561,8.353,0.99311757,8.353,0.99540561,8.353,0.99770135,8.353,0.99311548,8.353,1,8.353,0.99770433,8.353,0.99540854,8.353,0.99540561,8.353,0.99540561,8.353,1.0023093,8.353,1,8.353,0.99540561,8.353,0.99540561
8.354,1.0023055,8.354,0.99770433,8.354,0.99770433,8.354,0.99770433,8.354,0.99770135,8.354,0.99311548,8.354,0.99769604,8.354,0.99540561,8.354,0.99540854,8.354,0.99770433,8.354,0.99540561,8.354,1.0023093,8.354,0.99540561,8.354,0.99770433,8.354,0.99540561
8.355,1.0069323,8.355,1,8.355,0.99540561,8.355,1,8.355,0.99770135,8.355,0.99311548,8.355,0.99769604,8.355,0.99770433,8.355,0.9976989,8.355,1,8.355,0.9931131,8.355,1,8.355,0.99770433,8.355,0.99770433,8.355,0.99770433
8.356,1.0046147,8.356,1,8.356,0.99770433,8.356,0.9976989,8.356,0.99769604,8.356,0.99311548,8.356,0.99540561,8.356,0.99770433,8.356,0.9976989,8.356,0.9976989,8.356,0.99540561,8.356,1.002301,8.356,0.99770433,8.356,1,8.356,0.99770433
8.357,1.0046147,8.357,0.9976989,8.357,0.99770433,8.357,0.9976989,8.357,0.99769604,8.357,0.99082744,8.357,0.99770433,8.357,0.99770433,8.357,0.9976989,8.357,0.9976989,8.357,0.99540854,8.357,1.002301,8.357,1,8.357,0.9976989,8.357,0.99540854
8.358,1.0069346,8.358,0.9976989,8.358,0.99540854,8.358,0.9976989,8.358,1,8.358,0.9931131,8.358,1,8.358,0.99540854,8.358,0.9976989,8.358,0.9976989,8.358,0.99540561,8.358,1.0046127,8.358,1,8.358,0.9976989,8.358,0.9976989
8.359,1.0046147,8.359,1,8.359,0.9976989,8.359,0.9976989,8.359,1,8.359,0.9931131,8.359,1,8.359,0.9976989,8.359,0.99770057,8.359,0.99540478,8.359,0.99311513,8.359,1.0046127,8.359,0.9976989,8.359,0.9976989,8.359,0.9976989
8.36,1.0069301,8.36,0.99770057,8.36,0.9976989,8.36,0.99770057,8.36,0.99769604,8.36,0.9931131,8.36,1,8.36,0.99540854,8.36,1.0023047,8.36,1,8.36,0.99311966,8.36,1.0046127,8.36,1.0023063,8.36,1,8.36,1
8.361,1.0092516,8.361,0.99770057,8.361,0.9976989,8.361,1.0023047,8.361,1,8.361,0.99540269,8.361,1,8.361,1,8.361,1,8.361,1,8.361,1,8.361,1.0023063,8.361,1.0023063,8.361,1,8.361,1
8.362,1.0069301,8.362,1.0023047,8.362,1.0023047,8.362,1,8.362,1.002301,8.362,0.99540269,8.362,1,8.362,1,8.362,1.0023047,8.362,1,8.362,0.99540478,8.362,1.0023047,8.362,1,8.362,1,8.362,1
8.363,1.0069301,8.363,1,8.363,1,8.363,1,8.363,1,8.363,0.99769604,8.363,1.0023063,8.363,1,8.363,1,8.363,1,8.363,0.99770057,8.363,1.0023047,8.363,1.0046164,8.363,1,8.363,1
8.364,1.0069301,8.364,1,8.364,1.0023047,8.364,1,8.364,1,8.364,0.99769604,8.364,1.0023063,8.364,1,8.364,1.0023102,8.364,1,8.364,1,8.364,1.006928,8.364,1,8.364,1,8.364,1.0023047
8.365,1.0069301,8.365,1,8.365,1,8.365,1,8.365,1.0023063,8.365,0.99769604,8.365,1.0046164,8.365,1,8.365,1.0023102,8.365,1,8.365,0.99540478,8.365,1.0046164,8.365,1.0023047,8.365,1,8.365,1.0023047
8.366,1.0069301,8.366,1,8.366,1,8.366,1,8.366,1,8.366,0.99769604,8.366,1.0046164,8.366,1,8.366,1.0046202,8.366,1,8.366,1.0023047,8.366,1.0069373,8.366,1.0046164,8.366,1,8.366,1.0023047
8.367,1.0069301,8.367,1.0023102,8.367,1.0023047,8.367,1.0046202,8.367,1,8.367,0.99769604,8.367,1.0046164,8.367,1.0023047,8.367,1.0023102,8.367,1.0023102,8.367,1.0046164,8.367,1.0069373,8.367,1.0023047,8.367,1.0023102,8.367,1.0046202
8.368,1.0092525,8.368,1.0023102,8.368,1.0023047,8.368,1.0023102,8.368,1.0023063,8.368,0.99769604,8.368,1.0046164,8.368,1.0023047,8.368,1.0046171,8.368,1.0023102,8.368,0.99770057,8.368,1.0069373,8.368,1.0069373,8.368,1.0023102,8.368,1.0046202
8.369,1.0069301,8.369,1.0046171,8.369,1,8.369,1.0046171,8.369,1,8.369,0.99769604,8.369,1.0046164,8.369,1.0023047,8.369,1.0046171,8.369,1.0046171,8.369,1.0023047,8.369,1.0069373,8.369,1.0069373,8.369,1.0023102,8.369,1.0046202
8.37,1.0139108,8.37,1.0046202,8.37,1.0046202,8.37,1.0023102,8.37,1.0046127,8.37,0.99769604,8.37,1.0046164,8.37,1.0023047,8.37,1.0069324,8.37,1.0023102,8.37,0.99770057,8.37,1.0069373,8.37,1.0046202,8.37,1.0023102,8.37,1.0046202
8.371,1.0139108,8.371,1.0023102,8.371,1.0046202,8.371,1.0046171,8.371,1.0023063,8.371,1,8.371,1.0046164,8.371,1.0046202,8.371,1.0069324,8.371,1.0069324,8.371,1.0046164,8.371,1.0092548,8.371,1.0046202,8.371,1.0023102,8.371,1.0046202
8.372,1.0139108,8.372,1.0069324,8.372,1.0023047,8.372,1.0046171,8.372,1.0046127,8.372,1,8.372,1.0069373,8.372,1.0092548,8.372,1.0069348,8.372,1.0069324,8.372,1.0046171,8.372,1.0115771,8.372,1.0092548,8.372,1.0046171,8.372,1.0069324
8.373,1.0139108,8.373,1.0046171,8.373,1.0046202,8.373,1.0069324,8.373,1.006928,8.373,1,8.373,1.0046164,8.373,1.0069324,8.373,1.0092554,8.373,1.0069324,8.373,1,8.373,1.0092548,8.373,1.0069324,8.373,1.0069324,8.373,1.0069324
8.374,1.0139108,8.374,1.0069324,8.374,1.0046202,8.374,1.0069348,8.374,1.0046164,8.374,1,8.374,1.0046164,8.374,1.0069324,8.374,1.0092554,8.374,1.0092554,8.374,1.0069373,8.374,1.0115771,8.374,1.0069324,8.374,1.0069324,8.374,1.0069324
8.375,1.0139108,8.375,1.0092554,8.375,1.0092548,8.375,1.0092554,8.375,1.0046127,8.375,1.002301,8.375,1.0069373,8.375,1.0069324,8.375,1.0092554,8.375,1.0092554,8.375,1,8.375,1.0115771,8.375,1.0092548,8.375,1.0069324,8.375,1.0069324
8.376,1.0139108,8.376,1.0115832,8.376,1.0092548,8.376,1.0092554,8.376,1.006928,8.376,1.0046155,8.376,1.0069373,8.376,1.0069373,8.376,1.0092554,8.376,1.0092554,8.376,1.0023063,8.376,1.0139108,8.376,1.0069324,8.376,1.0069324,8.376,1.0069324
8.377,1.0139108,8.377,1.0115832,8.377,1.0046164,8.377,1.0115832,8.377,1.0046127,8.377,1.0046155,8.377,1.0092542,8.377,1.0092548,8.377,1.0092554,8.377,1.0115832,8.377,1.0069324,8.377,1.0115771,8.377,1.0092548,8.377,1.0092548,8.377,1.0092548
8.378,1.0162497,8.378,1.0092548,8.378,1.0092548,8.378,1.0115832,8.378,1.0069326,8.378,1.0046185,8.378,1.0092533,8.378,1.0092548,8.378,1.0092554,8.378,1.0115832,8.378,1.0046164,8.378,1.013913,8.378,1.0115771,8.378,1.0092548,8.378,1.0092548
8.379,1.0162497,8.379,1.0092548,8.379,1.0069373,8.379,1.0092548,8.379,1.0069326,8.379,1.0046185,8.379,1.0092533,8.379,1.0092542,8.379,1.0115832,8.379,1.0092548,8.379,1.006928,8.379,1.013913,8.379,1.0092548,8.379,1.0092548,8.379,1.0115771
8.38,1.0162466,8.38,1.0115771,8.38,1.0092542,8.38,1.0092548,8.38,1.0069326,8.38,1.0046185,8.38,1.0115848,8.38,1.0092542,8.38,1.0139108,8.38,1.0115771,8.38,1.006928,8.38,1.0139154,8.38,1.0115771,8.38,1.0115771,8.38,1.0115771
8.381,1.0185887,8.381,1.0115771,8.381,1.006928,8.381,1.0092542,8.381,1.0092525,8.381,1.0046185,8.381,1.0092533,8.381,1.0092542,8.381,1.0115771,8.381,1.0092542,8.381,1.0046127,8.381,1.0139154,8.381,1.0115848,8.381,1.0092542,8.381,1.0092542
8.382,1.0185887,8.382,1.0092542,8.382,1.0115848,8.382,1.0115771,8.382,1.0092516,8.382,1.0069346,8.382,1.0139154,8.382,1.0092533,8.382,1.0115771,8.382,1.013913,8.382,1.0092533,8.382,1.0139154,8.382,1.0115848,8.382,1.0115848,8.382,1.0115771
8.383,1.0162466,8.383,1.013913,8.383,1.0092533,8.383,1.013913,8.383,1.0069301,8.383,1.0046147,8.383,1.0115786,8.383,1.0162491,8.383,1.0115771,8.383,1.013913,8.383,1.0092542,8.383,1.0139154,8.383,1.0139154,8.383,1.0115848,8.383,1.0115848
8.384,1.018587,8.384,1.0115848,8.384,1.0115848,8.384,1.0115848,8.384,1.0092516,8.384,1.0069323,8.384,1.0139108,8.384,1.0115786,8.384,1.0115771,8.384,1.0115848,8.384,1.0046155,8.384,1.0139154,8.384,1.0115848,8.384,1.0115848,8.384,1.0139154
8.385,1.0185916,8.385,1.0115848,8.385,1.0115786,8.385,1.0115848,8.385,1.0092516,8.385,1.0069323,8.385,1.0139108,8.385,1.0115786,8.385,1.013913,8.385,1.0115848,8.385,1.0139108,8.385,1.016253,8.385,1.0115786,8.385,1.0115848,8.385,1.0139154
8.386,1.0185916,8.386,1.0115848,8.386,1.0115786,8.386,1.0115848,8.386,1.0115793,8.386,1.0069323,8.386,1.0139108,8.386,1.0139154,8.386,1.0139154,8.386,1.0139154,8.386,1.0092533,8.386,1.0185974,8.386,1.0139108,8.386,1.0115786,8.386,1.0115786
8.387,1.0209409,8.387,1.0115786,8.387,1.0139108,8.387,1.016253,8.387,1.0115798,8.387,1.0092498,8.387,1.0139108,8.387,1.0115793,8.387,1.016253,8.387,1.016253,8.387,1.0115793,8.387,1.016253,8.387,1.0115786,8.387,1.0139108,8.387,1.0115786
8.388,1.0209336,8.388,1.0139108,8.388,1.0139108,8.388,1.0139108,8.388,1.0115798,8.388,1.0092498,8.388,1.0162497,8.388,1.0115793,8.388,1.016253,8.388,1.0139108,8.388,1.0139108,8.388,1.0185887,8.388,1.0139108,8.388,1.0139108,8.388,1.0115793
8.389,1.0209336,8.389,1.0139108,8.389,1.0115793,8.389,1.0139108,8.389,1.0115805,8.389,1.0092489,8.389,1.0162466,8.389,1.0115793,8.389,1.0139108,8.389,1.0139108,8.389,1.0092516,8.389,1.0185887,8.389,1.0185887,8.389,1.0139108,8.389,1.0115793
8.39,1.0209398,8.39,1.0139108,8.39,1.0139129,8.39,1.0162497,8.39,1.0115741,8.39,1.0092489,8.39,1.013908,8.39,1.0162466,8.39,1.0139108,8.39,1.0162497,8.39,1.0092498,8.39,1.0162466,8.39,1.0139129,8.39,1.0139129,8.39,1.0139129
8.391,1.0185876,8.391,1.0162466,8.391,1.013908,8.391,1.0139129,8.391,1.0115741,8.391,1.0092545,8.391,1.0162431,8.391,1.013908,8.391,1.0162497,8.391,1.0139129,8.391,1.0115798,8.391,1.0209409,8.391,1.0162466,8.391,1.0162466,8.391,1.013908
8.392,1.020939,8.392,1.0162466,8.392,1.013908,8.392,1.0162466,8.392,1.013912,8.392,1.0115749,8.392,1.0185916,8.392,1.013908,8.392,1.0162466,8.392,1.0162466,8.392,1.0092498,8.392,1.0209409,8.392,1.0162431,8.392,1.013908,8.392,1.013908
8.393,1.020939,8.393,1.013908,8.393,1.0162431,8.393,1.013908,8.393,1.013912,8.393,1.0115749,8.393,1.0185916,8.393,1.0139102,8.393,1.0162466,8.393,1.013908,8.393,1.0115741,8.393,1.0209336,8.393,1.013908,8.393,1.013908,8.393,1.0162431
8.394,1.0209383,8.394,1.0162431,8.394,1.013912,8.394,1.013908,8.394,1.0115813,8.394,1.0092467,8.394,1.0185916,8.394,1.0139102,8.394,1.0162431,8.394,1.0162431,8.394,1.0209398,8.394,1.0209336,8.394,1.0185916,8.394,1.0185916,8.394,1.0139102
